theme,montant
"CIF, CIP ou autres prestataires",120 000 €
Manquement d'initié,3 160 000 €
Obligations professionnelles,93 000 000 €
Obligations professionnelles,150 000 €
"CIF, CIP ou autres prestataires",100 000 €
Obligations professionnelles,500 000 €
Obligations professionnelles,1 800 000 €
Obligations professionnelles,200 000 €
"CIF, CIP ou autres prestataires",150 000 €
Manipulation de marché,780 000 €
"CIF, CIP ou autres prestataires",200 000 €
"CIF, CIP ou autres prestataires",1 550 000 €
Manquement d'initié,800 000 €
Manipulation de marché,60 000 €
Manquement d'initié,100 000 €
Obligations professionnelles,50 000€
"CIF, CIP ou autres prestataires",300 000 €
Obligations professionnelles,37 020 000 €
Manquement d'initié,1 500 000 €
Obligations professionnelles,250 000 €
Obligation d'information,80 000 €
Obligations professionnelles,220 000 €
Manipulation de marché,2 400 000 €
"CIF, CIP ou autres prestataires",100 000 €
Obligations professionnelles,600 000 €
Manquement d'initié,18 200 000 €
Obligations professionnelles,100 000 €
"CIF, CIP ou autres prestataires",50 000 €
"CIF, CIP ou autres prestataires",20 000 €
Manipulation de marché,1 000 000 €
Obligations professionnelles,275 000 €
Obligations professionnelles,110 000 €
Obligations professionnelles,5 050 000 €
"CIF, CIP ou autres prestataires",100 000 €
Obligations professionnelles,100 000 €
Obligations professionnelles,100 000 €
Obligation d'information,20 000 000 €
Manquement d'initié,2 400 000 €
Obligations professionnelles,500 000 €
Instrument financier,"250 000 €
2 mises hors de cause"
Obligations professionnelles,"50 000 €
2 blâmes
1 interdiction d’exercer 
l’activité de gestionnaire d’actifs pour le compte de tiers et de gestion collective (5 ans)"
Manipulation de marché,5 000 000 €
Manipulation de marché,20 000 000 €
Obligations professionnelles,"680 000 €
1 avertissement"
"CIF, CIP ou autres prestataires",100 000 €
Obligation d'information,120 000 €
PSI,"3 000 000 €
1 mise hors de cause"
Obligations professionnelles,"200 000 €
2 avertissements"
PSI,"220 000 €
1 blâme"
"CIF, CIP ou autres prestataires","150 000 €
1 blâme"
Obligations professionnelles,70 000 €
"CIF, CIP ou autres prestataires",20 000 €
"CIF, CIP ou autres prestataires","50 000 €
1 avertissement"
Manquement d'initié,"700 000 €
4 mises hors de cause"
Manquement d'initié,830 000 €
Manquement d'initié,530 000 €
Manquement d'initié,"350 000 €
1 avertissement"
"CIF, CIP ou autres prestataires",50 000 €
Obligations professionnelles,"170 000 €
2 interdictions d'exercer l'activité de CIF (10 ans)"
"CIF, CIP ou autres prestataires",1 666 000 €
"CIF, CIP ou autres prestataires",450 000 €
Obligation d'information,"50 000 €
2 interdictions d'exercer l'activité d'intermédiaires en biens divers (10 ans)"
Manipulation de marché,920 000 €
Manquement d'initié,345 000 €
Obligations professionnelles,300 000 €
Obligation d'information,140 000 €
Manipulation de marché,100 000 €
Obligation d'information,380 000 €
PSI,500 000 €
Obligation d'information,550 000 €
Manipulation de marché,400 000 €
Manquement d'initié,700 000 €
"CIF, CIP ou autres prestataires","460 000 €
1 blâme
3 avertissements"
Obligations professionnelles,300 000 €1 avertissement
Obligation d'information,"2 170 000 €
1 mise hors de cause"
"CIF, CIP ou autres prestataires","20 000 €
1 interdiction d'exercer les activités de CIF (10 ans)"
Manquement d'initié,90 000 €
Manquement d'initié,"946 000 €
1 interdiction d'exercer une activité d'exécution des ordres pour compte de tiers (10 ans)"
PSI,900 000 €
Obligations professionnelles,"50 000 €
1 avertissement"
Obligation d'information,40 000 €
Manquement d'initié,"35 000 000 €
1 avertissement"
Obligations professionnelles,110 000 €
Obligation d'information,"100 000 €
1 interdiction d’exercer l’activité d’analyste financier (10 ans)"
Manquement d'initié,"200 000 €
2 mises hors de cause"
Manquement d'initié,650 000 €
Manquement d'initié,"180 000 €
2 blâmes"
Obligations professionnelles,1 100 000 €
Manipulation de marché,"1 275 000 €
2 mises hors de cause"
Obligations professionnelles,"230 000 €
1 blâme
1 avertissement
1 interdiction d'exercer dans une société de gestion, ni activité de dirigeant, ni celle de gérant financier (1 an)"
"CIF, CIP ou autres prestataires",20 000 €
Obligations professionnelles,"80 000 €
2 blâmes"
Manipulation de marché,400 000 €
Manipulation de marché,250 000 €
Obligation d'information,400 000 €
PSI,1 500 000 €
"CIF, CIP ou autres prestataires","730 000 €
2 interdictions d'exercer l'activité de CIF (3 ans)"
Manquement d'initié,30 000 €
Obligations professionnelles,950 000 €
Obligations professionnelles,200 000 €
PSI,"400 000 €
1 mise hors de cause"
Manquement d'initié,"160 000 €
2 blâmes
5 mises hors de cause"
PSI,2 000 000 €
Manquement d'initié,590 000 €
Obligations professionnelles,400 000 €
Manipulation de marché,10 000 000 €
Obligations professionnelles,55 000 €
PSI,"200 000 €
1 blâme"
Manipulation de marché,1 000 000 €
"CIF, CIP ou autres prestataires",20 000 €
Obligation d'information,670 000 €
"CIF, CIP ou autres prestataires","30 000 €
1 interdiction d'exercer l'activité de CIF (3 ans)"
Procédure,1 600 000 €
Obligation d'information,"3 550 000 €
1 avertissement"
Manquement d'initié,"625 000 €
1 mise hors de cause"
Obligation d'information,35 000 €
"CIF, CIP ou autres prestataires",545 000 €
Manipulation de marché,150 000 €
Obligations professionnelles,"170 000 €
1 mise hors de cause"
Obligation d'information,350 000 €
Obligation d'information,1 040 000 €
Obligation d'information,100 000 €
Obligations professionnelles,"195 000 €
1 avertissement"
Obligations professionnelles,"325 000 €
1 blâme
1 interdiction d'exercer l'activité de RTO pour le compte de tiers (10 ans)"
Obligation d'information,120 000 €
Obligation d'information,2 100 000 €
Obligations professionnelles,200 000 €
Obligation d'information,"200 000 €
2 mises hors de cause"
Obligations professionnelles,"300 000 €
1 blâme"
Instrument financier,325 000 €
Obligation d'information,"260 000 €
1 avertissement      "
Manquement d'initié,1 250 000 €
Obligation d'information,90 000 €
Manquement d'initié,100 000 €
Obligations professionnelles,80 000 €
Obligations professionnelles,5 000 €
Obligation d'information,65 000 €
Obligations professionnelles,15 000 €
Manquement d'initié,1 817 000 €
Obligations professionnelles,80 000 €
Obligation d'information,200 000 €
Obligation d'information,"1 050 000  €
1 mise hors de cause"
Manquement d'initié,16 000 000 €
Produit d'épargne collective,"3 769 500 €
2 interdictions définitives d'exercice de l'activité d’intermédiaire en biens divers
2 interdictions d'exercice de l'activité d'intermédiaire en biens divers (3 ans)
2 interdictions d'exercice de l'activité d'intermédiaire en biens divers (5 ans)
3 mises hors de cause"
Manipulation de marché,70 000 €
Obligations professionnelles,150 000 €
"CIF, CIP ou autres prestataires",50 000 €
Obligations professionnelles,18 000 €
Obligation d'information,10 000 €
"CIF, CIP ou autres prestataires",14 400 000 €
Manquement d'initié,30 000 €
PSI,"500 000 €
1 avertissement"
Obligations professionnelles,280 000 €
Produit d'épargne collective,1 990 000 €
Instrument financier,50 000 €
Obligations professionnelles,100 000 €
Obligation d'information,8 000 000 €
Manquement d'initié,"670 000 €
4 mises hors de cause"
Manquement d'initié,3 500 000 €
Obligations professionnelles,200 000 €
Manquement d'initié,200 000 €
Manquement d'initié,35 000 €
Obligations professionnelles,100 000 €
Obligations professionnelles,"200 000 €
1 avertissement"
Obligations professionnelles,25 000 €
Manquement d'initié,"75 000 €
1 avertissement
3 mises hors de cause"
Obligation d'information,100 000 €
PSI,30 000 €
Obligations professionnelles,"360 000 €
3 avertissements"
Produit d'épargne collective,"360 000 €
1 interdiction d'exercice des services fournis (3 ans)"
Obligations professionnelles,"370 000 €
1 interdiction d'exercer à titre définitif
3 interdictions d'exercice (10 ans)
1 blâme"
Obligations professionnelles,"110 000 €
1 avertissement"
Manquement d'initié,660 000 €
Manquement d'initié,6 170 000 €
Produit d'épargne collective,200 000 €
Obligations professionnelles,10 000 €
Obligation d'information,100 000 €
Procédure,2 100 000 €
Obligation d'information,100 000 €
Obligations professionnelles,11 000 €
Obligation d'information,"50 000 €
3 mises hors de cause"
Manquement d'initié,"500 000 €
1 avertissement
2 mises hors de cause"
Obligations professionnelles,"150 000 €
3 blâmes"
Manquement d'initié,"1 160 000 €
4 avertissements
1 mise hors de cause"
Procédure,"50 000 €
1 avertissement
1 mise hors de cause"
Manquement d'initié,"10 000 €
1 avertissement"
Manquement d'initié,"400 000 €
2 blâmes"
Obligations professionnelles,300 000 €
Obligations professionnelles,150 000 €
Obligations professionnelles,1 500 000 €
Obligations professionnelles,1 000 000 €
Manquement d'initié,100 000 €
Obligations professionnelles,355 000 €
Produit d'épargne collective,300 000 €
Manipulation de marché,175 000 €
Obligations professionnelles,50 000 €
Manipulation de marché,10 000 €
Obligations professionnelles,100 000 €
Obligation d'information,"160 000 €
4 mises hors de cause"
Obligation d'information,90 000 €
Manquement d'initié,"900 000 €
2 avertissements
2 mises hors de cause"
Manquement d'initié,"685 000 €
1 mise hors de cause"
Obligation d'information,30 000 €
Obligation d'information,"3 000 000 €
1 mise hors de cause"
Obligation d'information,500 000 €
Manquement d'initié,"1 410 000 €
1 avertissement"
Manquement d'initié,30 000 €
Procédure,36 000 €
Obligation d'information,500 €
Obligation d'information,"70 000 €
1 mise hors de cause"
Obligation d'information,100 000 €
Obligations professionnelles,150 000  €
"CIF, CIP ou autres prestataires",35 000 €
Obligation d'information,"100 000 €
1 mise hors de cause"
Obligation d'information,20 000 €
Obligation d'information,"30 000 €
2 mises hors de cause"
Manquement d'initié,"228 000 €
1 mise hors de cause"
Produit d'épargne collective,"300 000 €
1 avertissement"
PSI,1 000 €
Obligations professionnelles,400 000 €
Obligation d'information,300 000 €
Manquement d'initié,"1 800 000 €
1 mise hors de cause"
Obligation d'information,"85 000 €
2 mises hors de cause"
Manquement d'initié,"4 000 000 €
4 mises hors de cause"
Manquement d'initié,"60 000 €
5 mises hors de cause"
Manquement d'initié,20 000 €
Manquement d'initié,"410 000 €
2 mises hors de cause"
Obligation d'information,30 000 €
Obligation d'information,"30 000 €
1 mise hors de cause"
Manquement d'initié,"3 950 000 €
8 mises hors de cause"
Manquement d'initié,"300 000 €
1 avertissement"
PSI,"300 000 €
1 avertissement"
PSI,50 000 €
Obligation d'information,"50 000 €
1 avertissement"
Obligations professionnelles,180 000 €
Obligation d'information,"360 000 €
2 blâmes"
PSI,1 000 000 €
Obligation d'information,"300 000 €
4 mises hors de cause"
Manipulation de marché,150 000 €
Procédure,"2 120 000 €
2 blâmes
1 avertissement"
PSI,345 000 €
PSI,10 000 €
Manquement d'initié,64 000 €
PSI,50 000 €
Manquement d'initié,"5 550 000 €
2 mises hors de cause"
PSI,50 000 €
Manquement d'initié,800 000 €
Obligation d'information,2 000 000 €
Manquement d'initié,450 000 €
Manquement d'initié,"50 000 €
1 blâme"
Manquement d'initié,"100 000 €
1 avertissement"
Obligations professionnelles,"10 000 €
1 avertissement"
Obligations professionnelles,"500 000 €
1 avertissement"
Obligations professionnelles,"500 000 €
1 avertissement"
Manquement d'initié,200 000 €
Obligations professionnelles,"360 000 €
4 avertissements"
Manquement d'initié,"205 000 €
3 mises hors de cause"
Manquement d'initié,20 000 €
Obligations professionnelles,300 000 €
Manipulation de marché,"960 000 €
1 mise hors de cause"
Obligation d'information,"70 000 €
1 mise hors de cause"
Manquement d'initié,400 000 €
Obligations professionnelles,30 000 €
Obligation d'information,"855 000 €
6 mises hors de cause"
Manquement d'initié,"150 000 €
1 mise hors de cause"
Obligations professionnelles,"80 000 €
1 blâme
1 avertissement"
Manipulation de marché,250 000 €
Manquement d'initié,"300 000 €
3 mises hors de cause"
Obligation d'information,"150 000 €
2 mises hors de cause"
Obligation d'information,"420 000 €
4 mises hors de cause"
Manquement d'initié,1 200 000 €
Obligation d'information,10 000 €
PSI,"10 000 €
1 avertissement"
Obligation d'information,"10 000 €
3 mises hors de cause"
Manquement d'initié,68 000 €
Manquement d'initié,"5 000 €
1 avertissement
1 interdiction d’exercer des activités dans le
domaine de la gestion d’actifs pour compte de tiers, y compris la gestion d’OPCVM (3 ans)"
Obligations professionnelles,86 000 €
Manquement d'initié,"10 000 €
1 blâme
1 interdiction d’exercer des activités dans le
domaine de la gestion d’actifs pour compte de tiers, y compris la gestion d’OPCVM (1 an)"
Obligation d'information,150 000 €
Obligation d'information,"30 000 €
1 blâme
1 mise hors de cause"
Obligation d'information,"20 000 €
4 mises hors de cause"
Obligation d'information,"10 000 €
3 mises hors de cause"
Obligations professionnelles,"75 000 €
1 blâme
2 avertissements"
Obligation d'information,"2 140 000 €
2 mises hors de cause"
Obligation d'information,10 000 €
Manquement d'initié,"6 250 000 €
1 blâme
1 mise hors de cause"
Obligation d'information,"1 250 000 €
3 mises hors de cause"
Obligation d'information,"5 100 000 €
1 mise hors de cause"
Obligations professionnelles,"80 000 €
1 mise hors de cause"
Obligations professionnelles,"300 000 €
1 avertissement"
Manquement d'initié,"1 050 000 €
1 mise hors de cause"
Obligation d'information,"851 000 €
3 mises hors de cause"
Obligations professionnelles,5 000 €
Obligation d'information,520 000 €
Obligation d'information,"500 000 €
1 mise hors de cause"
Obligation d'information,30 000 €
Obligation d'information,10 000 €
Obligation d'information,40 000 €
Obligations professionnelles,20 000 €
Obligation d'information,60 000 €
Manipulation de marché,"1 040 000 €
1 blâme
1 avertissement"
Manquement d'initié,"1 500 000 €
1 avertissement
3 mises hors de cause"
Obligation d'information,5 000 €
Obligation d'information,30 000 €
Obligation d'information,500 000 €
Obligations professionnelles,"30 000 €
3 mises hors de cause"
Obligation d'information,50 000 €
Manquement d'initié,40 000 €
Obligation d'information,30 000 €
Obligation d'information,210 000 €
Obligation d'information,"9 635 148 €
3 mises hors de cause"
Obligation d'information,"50 000 €
1 avertissement"
Manipulation de marché,"40 000 €
1 avertissement
1 mise hors de cause"
PSI,100 000 €
Produit d'épargne collective,10 000 €
Obligation d'information,"1 150 000 €
1 mise hors de cause"
Obligation d'information,200 000 €
"CIF, CIP ou autres prestataires",1 €
Obligation d'information,"150 000 €
1 avertissement"
PSI,50 000 €
PSI,20 000 €
Manipulation de marché,375 000 €
Obligation d'information,"10 001 €
3 mises hors de cause"
Obligations professionnelles,"900 000 €
3 avertissements
2 mises hors de cause"
Obligations professionnelles,"55 000 €
1 blâme
3 mises hors de cause"
Manquement d'initié,"15 000 €
1 blâme"
PSI,20 000 €
Obligations professionnelles,"7 000 €
2 blâmes
1 avertissement
1 interdiction d’exercer, l’une quelconque
des activités pour lesquelles des manquements ont été retenus (2 mois)"
Obligations professionnelles,"50 000 €
1 blâme"
Obligation d'information,"10 000 €
1 mise hors de cause"
Obligation d'information,355 000 €
Obligation d'information,5 000 €
PSI,"300 000 €
1 blâme"
Obligations professionnelles,"100 000 €
1 mise hors de cause"
Obligation d'information,"100 000 €
2 mises hors de cause"
Manquement d'initié,5 000 €
Obligation d'information,80 000 €
Obligation d'information,"850 000 €
2 blâmes"
Obligation d'information,"2 000 000 €
1 mise hors de cause"
Obligations professionnelles,"280 000 €
3 blâmes
2 avertissements
1 interdiction d’exercer le service de gestion de portefeuille pour compte
de tiers (3 ans)
2 mises hors de cause"
Procédure,15 000 €
Obligation d'information,"300 000 €
1 blâme"
PSI,500 000 €
Obligation d'information,"1 100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
Obligation d'information,50 000 €
PSI,"500 000 €
1 blâme"
PSI,"80 000 €
3 blâmes
1 avertissement"
PSI,"500 000 €
2 blâmes
1 avertissement"
PSI,"30 000 €
2 avertissements
1 mise hors de cause"
PSI,"100 000 €
2 blâmes"
